Group,Class,Long,Short,Daily
ASV0654,Deltaproteobacteria,0.019170623,0.002586737,0
ASV0655,Cloacimonadia,0,0,0
ASV0656,Gammaproteobacteria,0,0,0
ASV0658,Alphaproteobacteria,0.017631892,0.000422878,0
ASV0659,Bacteroidia,0.00026897,0.000476497,0.004394252
ASV0660,Deltaproteobacteria,0.057621947,0,0
ASV0661,Bacteroidia,0,0,0
ASV0665,Bacteroidia,0.017894332,0,0
ASV0666,Verrucomicrobiae,0.000311515,0.019533948,0.040456494
ASV0668,Saccharimonadia,0.000358627,0,0.002638174
ASV0669,Bacteroidia,0.000270973,0.00142949,0.004394405
ASV0670,Gammaproteobacteria,0,0.003972781,0.005413642
ASV0672,Alphaproteobacteria,0.002968282,0.002423802,0.002361798
ASV0673,Bacteroidia,0,0,0.003870911
ASV0674,Bacilli,0,0.001606746,0
ASV0675,Bacilli,0.000189159,0,0
ASV0678,Deltaproteobacteria,0.044146163,0,0
ASV0681,Alphaproteobacteria,0.015989518,0.003889886,0.001564579
ASV0682,Bacteroidia,0,0.002203819,0.001081303
ASV0683,Bacteroidia,0,0.000646684,0.005447649
ASV0684,Bacteroidia,8.96568E-05,0,0
ASV0687,Alphaproteobacteria,0,0.002734997,0.012391574
ASV0689,Alphaproteobacteria,8.96568E-05,0.000476497,0
ASV0690,Bacteroidia,0,0,0.00105527
ASV0691,Alphaproteobacteria,0,0.000633202,0.002606381
ASV0693,Clostridia,8.96568E-05,0.001920123,0
ASV0695,Bacteroidia,0,0,0.00211054
ASV0698,Deltaproteobacteria,0.024754466,0,0
ASV0700,Alphaproteobacteria,0.007540573,0.00518946,0.002367188
ASV0702,Alphaproteobacteria,0.005993144,0,0
ASV0703,Alphaproteobacteria,0.00229556,0.000949803,0
ASV0704,Actinobacteria,8.96568E-05,0,0.000263817
ASV0705,Gammaproteobacteria,0.000179313,0.002800708,0.00482252
ASV0706,Bacteroidia,0.000236106,0.000502993,0.000628741
ASV0708,Deltaproteobacteria,0.009070471,0,0
ASV0709,Gammaproteobacteria,0,0,0
ASV0710,Erysipelotrichia,0,0.001151807,0.00138479
ASV0711,Mollicutes,0,0,0.001978631
ASV0712,Alphaproteobacteria,0.016918095,0,0
ASV0713,Deltaproteobacteria,0.015911811,0.003594351,0.00287437
ASV0720,Bacteroidia,0,0.000952994,0
ASV0721,Clostridia,0,0.000476497,0.000891568
ASV0722,Bacilli,0,0.000476497,0.001351629
ASV0727,Bacteroidia,0,0,0
ASV0728,Actinobacteria,0,0.000845755,0.002677225
ASV0729,Bacteroidia,0,0.000845755,0
ASV0730,Gammaproteobacteria,0.000890997,0,0
ASV0731,Gammaproteobacteria,0,0,0.002406899
ASV0732,Gammaproteobacteria,0,0,0
ASV0733,Gammaproteobacteria,0,0,0
ASV0734,Deltaproteobacteria,0.060331279,0,0
ASV0738,Alphaproteobacteria,0.00903841,0.001988342,0.000844138
ASV0739,Bacteroidia,0,0,0
ASV0741,Gammaproteobacteria,0,0.000474901,0.00412822
ASV0742,Gammaproteobacteria,0,0.000476497,0.001565574
ASV0743,Gammaproteobacteria,0,0.000633202,0
ASV0746,Alphaproteobacteria,0,0,0
ASV0747,Alphaproteobacteria,0,0,0
ASV0749,Bacilli,0,0,0
ASV0752,Clostridia,0,0.006627372,0.000810977
ASV0755,Bacteroidia,0,0,0.001455731
ASV0757,Alphaproteobacteria,0.009482556,0.001437638,0.001533854
ASV0759,Gammaproteobacteria,0.001836585,0,0
